,Single_1,OS,3.5mm jack,Loudspeaker_1,Chipset,Call records,Status,Features_1,128GB 8GB RAM,Display,Talk time,32GB 2GB RAM,64GB 6GB RAM,256GB 8GB RAM,Music play,GPRS,EDGE,Radio,Charging,4G bands,Camera,Stand-by,64GB 4GB RAM,Price,_3,Dual,Single,2G bands,Resolution,128GB 4GB RAM,Announced,Technology,_1,SAR,GPU,Battery (new),Model Image,Size,Model Name,256GB 6GB RAM,64GB 3GB RAM,Phonebook,5G bands,Positioning,128GB 6GB RAM,Type_1,Java,Features,CPU,SAR EU,_2,SIM,Triple,Infrared port,Battery (old),Card slot,Protection,Messaging,Dimensions,512GB 16GB RAM,Internal,USB,Models,512GB 12GB RAM,Loudspeaker,Bluetooth,Games,Quad,Weight,WLAN,Video,Speed,NFC,Build,_5,Brand,32GB 3GB RAM,256GB 12GB RAM,Audio quality,Colors,Type,Performance,3G bands,Video_1,_4,Sensors
UFS 2.1,,"Android 9.0 (Pie), upgradable to Android 10, Realme UI",Yes,Voice 68dB / Noise 74dB / Ring 89dB,Qualcomm SDM712 Snapdragon 712 (10 nm),,"Available. Released 2019, September","HDR, panorama",,447 nits max brightness (measured),,,,,,,,FM radio,20W wired,"1, 3, 5, 8, 38, 40, 41",Photo/Video,,,About 290 EUR,,,"16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",,"2019, September 13",GSM / HSPA / LTE,,,Adreno 616,,https://fdn2.gsmarena.com/vv/bigpic/realme-xt.jpg,"6.4 inches, 100.5 cm2(~84.3% screen-to-body ratio)",Realme XT,,,,,"GPS, GLONASS, GALILEO, BDS",,"4000 mAh, non-removable",,"LED flash, HDR, panorama",Octa-core (2x2.3 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),,,Nano-SIM + Nano-SIM,,,Endurance rating 100h,microSDXC (dedicated slot),Corning Gorilla Glass 5,,158.7 x 75.2 x 8.6 mm (6.25 x 2.96 x 0.34 in),,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 8GB RAM",USB Type-C 2.0,RMX1921,,Yes,"5.0, A2DP, LE",,"64 MP, f/1.8, (wide), 1/1.72"", 0.8µm, PDAF8 MP, f/2.3, 13mm (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",183 g (6.46 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS","HSPA, LTE",No,"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame",,Realme,,,Noise -92.2dB / Crosstalk -91.4dB,"Pearl White, Pearl Blue",Super AMOLED,AnTuTu: 185193 (v7)GeekBench: 6102 (v4.4)GFXBench: 13fps (ES 3.1 onscreen),HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
CDMA 800 & TD-SCDMA,,"Android 9.0 (Pie), ColorOS 6",Yes,,Qualcomm SDM712 Snapdragon 712 (10 nm),,"Available. Released 2019, September","HDR, panorama",,,,,,,,,,FM radio,"20W wired, 50% in 30 min","1, 3, 4, 5, 8, 38, 39, 40, 41",,,,About 130 EUR,,,"16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",,"2019, September",GSM / CDMA / HSPA / LTE,Weather-sealed ports & loudspeaker,,Adreno 616,,https://fdn2.gsmarena.com/vv/bigpic/realme-5-pro-rmx1971.jpg,"6.3 inches, 97.4 cm2(~83.6% screen-to-body ratio)",Realme Q,,,,,"GPS, GLONASS, GALILEO, BDS",,"4035 mAh, non-removable",,"LED flash, HDR, panorama",Octa-core (2x2.3 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),Corning Gorilla Glass 3+,,157 x 74.2 x 8.9 mm (6.18 x 2.92 x 0.35 in),,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 8GB RAM","USB Type-C 2.0, OTG",,,Yes,"5.0, A2DP, LE",,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, 13mm (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",184 g (6.49 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS","HSPA, LTE",No,"Glass front (Gorilla Glass 3+), plastic back, plastic frame",,Realme,,,,"Light Green, Light Blue",IPS LCD,,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass"
"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - EMEA",,"Android 9.0 (Pie), upgradable to Android 11, Realme UI 2.0",Yes,Voice 66dB / Noise 72dB / Ring 85dB,Qualcomm SDM712 Snapdragon 712 (10 nm),,"Available. Released 2019, September","HDR, panorama",,"1875:1 contrast ratio, 512 nits max brightness (measured)",,,,,,,,FM radio,"20W wired, 50% in 30 min","1, 3, 5, 8, 38, 40, 41 - India",Photo/Video,,,About 430 EUR,,,"16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",,"2019, August 20",GSM / HSPA / LTE,Weather-sealed ports & loudspeaker,,Adreno 616,,https://fdn2.gsmarena.com/vv/bigpic/realme-5-pro-rmx1971.jpg,"6.3 inches, 97.4 cm2(~83.6% screen-to-body ratio)",Realme 5 Pro,,,,,"GPS, GLONASS, GALILEO, BDS",,"4035 mAh, non-removable",,"LED flash, HDR, panorama",Octa-core (2x2.3 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),,UFS 2.1,Nano-SIM + Nano-SIM,,,Endurance rating 100h,microSDXC (dedicated slot),Corning Gorilla Glass 3+,,157 x 74.2 x 8.9 mm (6.18 x 2.92 x 0.35 in),,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 8GB RAM","USB Type-C 2.0, OTG","RMX1971, RMX1973",,Yes,"5.0, A2DP, LE",,"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, 13mm (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",184 g (6.49 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS","HSPA, LTE",No,"Glass front (Gorilla Glass 3+), plastic back, plastic frame",,Realme,,,Noise -93.3dB / Crosstalk -92.0dB,"Crystal Green, Crystal Blue, Chroma White","IPS LCD, 450 nits (typ)",AnTuTu: 182765 (v7)GeekBench: 6106 (v4.4)GFXBench: 12fps (ES 3.1 onscreen),HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass"
Weather-sealed ports & loudspeaker,,"Android 9.0 (Pie), upgradable to Android 10, Realme UI",Yes,Voice 66dB / Noise 73dB / Ring 89dB,Qualcomm SDM665 Snapdragon 665 (11 nm),,"Available. Released 2019, August","HDR, panorama",,"1406:1 contrast ratio, 485 nits max brightness (measured)",,,,,,,,FM radio,10W wired,"1, 3, 5, 8, 38, 40, 41",Photo/Video,,,About 190 EUR,,,"13 MP, f/2.0, 26mm (wide), 1/3.1"", 1.12µm",GSM 850 / 900 / 1800 / 1900,"720 x 1600 pixels, 20:9 ratio (~269 ppi density)",,"2019, August 20",GSM / HSPA / LTE,eMMC,,Adreno 610,,https://fdn2.gsmarena.com/vv/bigpic/realme-5.jpg,"6.5 inches, 102.8 cm2(~82.7% screen-to-body ratio)",Realme 5,,,,,"GPS, GLONASS, GALILEO, BDS",,"5000 mAh, non-removable",,"LED flash, HDR, panorama",Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),,,Nano-SIM + Nano-SIM,,,Endurance rating 144h,microSDXC (dedicated slot),Corning Gorilla Glass 3+,,164.4 x 75.6 x 9.3 mm (6.47 x 2.98 x 0.37 in),,"32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM","microUSB 2.0, OTG","RMX1911, RMX1919, RMX1927",,Yes,"5.0, A2DP, LE",,"12 MP, f/1.8, (wide), 1/2.9"", 1.25µm, PDAF8 MP, f/2.2, 13mm (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",198 g (6.98 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30fps, gyro-EIS","HSPA, LTE (2CA) 450/50 Mbps",No,"Glass front (Gorilla Glass 3+), plastic back, plastic frame",,Realme,,,,"Crystal Purple, Crystal Blue",IPS LCD,AnTuTu: 139516 (v7)GeekBench: 5707 (v4.4)GFXBench: 13fps (ES 3.1 onscreen),HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass"
eMMC 5.1,,"Android 9.0 (Pie), upgradable to Android 10, Realme UI",Yes,,Mediatek MT6771 Helio P60 (12 nm),,"Available. Released 2019, July",HDR,,,,,,,,,,FM radio,10W wired,"1, 3, 5, 8, 38, 40, 41",,,,About 8000 INR,,"13 MP, f/1.8, 1/3.1"", 1.12µm, PDAF2 MP, (depth)","13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",GSM 850 / 900 / 1800 / 1900,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)",,"2019, July",GSM / HSPA / LTE,,,Mali-G72 MP3,,https://fdn2.gsmarena.com/vv/bigpic/realme-3i.jpg,"6.2 inches, 95.9 cm2(~81.3% screen-to-body ratio)",Realme 3i,,,,,"GPS, GLONASS",,"4230 mAh, non-removable",,"LED flash, HDR",Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),Corning Gorilla Glass 3,,156.1 x 75.6 x 8.3 mm (6.15 x 2.98 x 0.33 in),,"32GB 3GB RAM, 64GB 4GB RAM","microUSB 2.0, OTG",RMX1827,,Yes,"4.2, A2DP, LE",,,175 g (6.17 oz),Wi-Fi 802.11 b/g/n,1080p@30fps,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat12 600/50 Mbps",No,"Glass front (Gorilla Glass 3), plastic back, plastic frame",,Realme,,,,"Diamond Blue, Diamond Red, Diamond Black",IPS LCD,,HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (rear-mounted), accelerometer, proximity"
CDMA 800 & TD-SCDMA - China,,"Android 9.0 (Pie), upgradable to Android 10, Realme UI",Yes,-28.7 LUFS (Average),Qualcomm SDM710 Snapdragon 710 (10 nm),,"Available. Released 2019, July",HDR,,Contrast ratio: Infinite (nominal),,,,,,,,FM radio,"20W wired, 55% in 30 min","1, 3, 4, 5, 8, 34, 38, 39, 40, 41",Photo/Video,,,About 160 EUR,,"48 MP, f/1.7, (wide), 26mm (wide), 1/2.0"", 0.8µm, PDAF5 MP, f/2.4, (depth)","Motorized pop-up 16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~394 ppi density)",,"2019, May",GSM / CDMA / HSPA / LTE,UFS 2.1,,Adreno 616,,https://fdn2.gsmarena.com/vv/bigpic/realme-x.jpg,"6.53 inches, 105.2 cm2(~85.9% screen-to-body ratio)",Realme X,,,,,"GPS, GLONASS, BDS",,"3765 mAh, non-removable",,"LED flash, HDR",Octa-core (2x2.2 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),,,Nano-SIM + Nano-SIM,,,Endurance rating 86h,No,Corning Gorilla Glass 5,,161.2 x 76 x 9.4 mm (6.35 x 2.99 x 0.37 in),,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",USB Type-C,"RMX1901, RMX1903",,Yes,"5.0, A2DP, LE, aptX HD",,,191 g (6.74 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30fps (gyro-EIS), 1080p@120fps, 720p@960fps","HSPA 42.2/11.5 Mbps, LTE (2CA) Cat6 300/75 Mbps",No,"Glass front (Gorilla Glass 5), plastic back, plastic frame",,Realme,,,Noise -92.9dB / Crosstalk -93.3dB,"Steam white, Punk Blue",AMOLED,GeekBench: 5915 (v4.4),HSDPA 850 / 900 / 1700(AWS) / 2100,1080p@30fps,,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass"
HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - EMEA,,"Android 9.0 (Pie), planned upgrade to Android 10, ColorOS 6",Yes,Voice 67dB / Noise 73dB / Ring 90dB,Qualcomm SDM710 Snapdragon 710 (10 nm),,"Available. Released 2019, May",HDR,,Contrast ratio: 1782:1 (nominal),Up to 32 h (3G),,,,Up to 126 h,,,FM radio,"20W wired, 50% in 30 min","1, 3, 5, 8, 38, 40, 41 - India",Photo/Video,Up to 383 h (3G),,About 270 EUR,,"16 MP, f/1.7, 1/2.6"", 1.22µm, dual pixel PDAF5 MP, f/2.4, (depth)","25 MP, f/2.0, 1/2.8"", 0.8µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",,"2019, April 22",GSM / HSPA / LTE,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 39, 40, 41 - EMEA",,Adreno 616,,https://fdn2.gsmarena.com/vv/bigpic/realme-3pro.jpg,"6.3 inches, 97.4 cm2(~83.7% screen-to-body ratio)",Realme 3 Pro,,,,,"GPS, GLONASS",,"4045 mAh, non-removable",,"LED flash, HDR",Octa-core (2x2.2 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),,eMMC 5.1,Nano-SIM + Nano-SIM,,,Endurance rating 91h,microSDXC (dedicated slot),Corning Gorilla Glass 5,,156.8 x 74.2 x 8.3 mm (6.17 x 2.92 x 0.33 in),,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM","microUSB 2.0, OTG",RMX1851,,Yes,"5.0, A2DP, LE",,,172 g (6.07 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30/120fps, 720p@960fps, gyro-EIS","HSPA 42.2/11.5 Mbps, LTE (2CA) Cat6 300/75 Mbps",No,"Glass front (Gorilla Glass 5), plastic back, plastic frame",,Realme,,,Noise -92.9dB / Crosstalk -91.1dB,"Carbon Gray, Nitro Blue, Lightning Purple",IPS LCD,AnTuTu: 155647 (v7)GeekBench: 5881 (v4.4)GFXBench: 11fps (ES 3.1 onscreen),HSDPA 850 / 900 / 2100  - India,1080p@30fps,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass"
eMMC 5.1,,"Android 9.0 (Pie), ColorOS 6 Lite",Yes,,Mediatek MT6762 Helio P22 (12 nm),,"Available. Released 2019, May",HDR,,,,,,,,,,FM radio,,"1, 3, 5, 8, 38, 40, 41",,,,About 6000 INR,,"13 MP, f/2.2, 1/3.1"", 1.12µm, PDAF2 MP, f/2.4, (depth)","5 MP, f/2.0, 1/5.0"", 1.12µm",GSM 850 / 900 / 1800 / 1900,"720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)",,"2019, April 22",GSM / HSPA / LTE,,,PowerVR GE8320,,https://fdn2.gsmarena.com/vv/bigpic/realme-c2.jpg,"6.1 inches, 91.3 cm2(~80.3% screen-to-body ratio)",Realme C2,,,,,"GPS, GLONASS, BDS",,"4000 mAh, non-removable",,"LED flash, HDR, panorama",Octa-core 2.0 GHz Cortex-A53,,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),Corning Gorilla Glass 3,,154.3 x 73.7 x 8.5 mm (6.07 x 2.90 x 0.33 in),,"16GB 2GB RAM, 32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM","microUSB 2.0, OTG","RMX1941, RMX1945, RMX1943",,Yes,"4.2, A2DP, LE",,,166 g (5.86 oz),Wi-Fi 802.11 b/g/n,1080p@30fps,"HSPA, LTE",No,"Glass front (Gorilla Glass 3), plastic back, plastic frame",,Realme,,,,"Diamond Black, Diamond Blue, Diamond Sapphire, Diamond Ruby",IPS LCD,,HSDPA 850 / 900 / 2100,1080p@30fps,,"Accelerometer, proximity, compass"
"1, 3, 5, 8, 38, 40, 41",,"Android 9.0 (Pie), upgradable to Android 10, Realme UI",Yes,Voice 66dB / Noise 71dB / Ring 81dB,Mediatek MT6771 Helio P60 (12 nm)Mediatek Helio P70 (12 nm),,"Available. Released 2019, March",HDR,,"Contrast ratio: 1464:1 (nominal), 2.918 (sunlight)",,,,,,,,FM radio,10W wired,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",Photo/Video,,,About 9000 INR,,"13 MP, f/1.8, 1/3.1"", 1.12µm, PDAF2 MP, (depth)","13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",GSM 850 / 900 / 1800 / 1900,"720 x 1520 pixels, 19:9 ratio (~270 ppi density)",,"2019, March",GSM / HSPA / LTE,eMMC 5.1,,Mali-G72 MP3,,https://fdn2.gsmarena.com/vv/bigpic/realme-3.jpg,"6.22 inches, 96.6 cm2(~81.8% screen-to-body ratio)",Realme 3,,,,,"GPS, GLONASS",,"4230 mAh, non-removable",,"LED flash, HDR",Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),,,Nano-SIM + Nano-SIM,,,Endurance rating 108h,microSDXC (dedicated slot),Corning Gorilla Glass 3,,156.1 x 75.6 x 8.3 mm (6.15 x 2.98 x 0.33 in),,"32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM","microUSB 2.0, OTG","RMX1825, RMX1821, 1821",,Yes,"4.2, A2DP, LE",,,175 g (6.17 oz),Wi-Fi 802.11 b/g/n,1080p@30fps,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat12 600/50 Mbps",No,"Glass front (Gorilla Glass 3), plastic back, plastic frame",,Realme,,,Noise -93.5dB / Crosstalk -91.6dB,"Black, Dynamic Black, Radiant Blue, Diamond Red",IPS LCD,AnTuTu: 132764 (v7)GeekBench: 4936 (v4.4)GFXBench: 15fps (ES 3.1 onscreen),HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (rear-mounted), accelerometer, proximity, compass"
eMMC 5.1,,"Android 8.1 (Oreo), ColorOS 5.2",Yes,,Qualcomm SDM450 Snapdragon 450 (14 nm),,"Available. Released 2019, February",HDR,,,,,,,,,,FM radio,,"1, 3, 5, 8, 38, 40, 41",,,,About 7500 INR,,"13 MP, f/2.2, AF2 MP, f/2.4, (depth)","5 MP, f/2.2",GSM 850 / 900 / 1800 / 1900,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)",,"2019, January",GSM / HSPA / LTE,,,Adreno 506,,https://fdn2.gsmarena.com/vv/bigpic/oppo-realme-c1.jpg,"6.2 inches, 95.9 cm2(~81.2% screen-to-body ratio)",Realme C1 (2019),,,,,GPS,,"Li-Ion 4230 mAh, non-removable",,"LED flash, HDR, panorama",Octa-core 1.8 GHz Cortex-A53,,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),Corning Gorilla Glass 3,,156.2 x 75.6 x 8.2 mm (6.15 x 2.98 x 0.32 in),,"32GB 2GB RAM, 32GB 3GB RAM","microUSB 2.0, OTG",MX181,,Yes,"4.2, A2DP, LE",,,168 g (5.93 oz),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",1080p@30fps,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",No,"Glass front (Gorilla Glass 3), plastic back, plastic frame",,Realme,,,,"Black, Blue",IPS LCD,,HSDPA 850 / 900 / 2100,,,"Accelerometer, proximity, compass"
eMMC 5.1,,"Android 8.1 (Oreo), upgradable to Android 9.0 (Pie), ColorOS 6",Yes,Voice 68dB / Noise 73dB / Ring 72dB,Mediatek MT6771 Helio P70 (12 nm),,"Available. Released 2018, December",HDR,,"Contrast ratio: 1830:1 (nominal), 2.815 (sunlight)",,,,,,,,FM radio,10W wired,"1, 3, 5, 8, 38, 40, 41",Photo/Video,,,About 130 EUR,,"13 MP, f/2.2, AF2 MP, f/2.4, (depth)","25 MP, f/2.0, 1/2.8"", 0.9µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",,"2018, November",GSM / HSPA / LTE,,,Mali-G72 MP3,,https://fdn2.gsmarena.com/vv/bigpic/realme-u1.jpg,"6.3 inches, 97.4 cm2(~83.9% screen-to-body ratio)",Realme U1,,,,,"GPS, GLONASS",,"Li-Ion 3500 mAh, non-removable",,"LED flash, HDR, panorama",Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),,,Nano-SIM + Nano-SIM,,,Endurance rating 93h,microSDXC (dedicated slot),Corning Gorilla Glass 3,,157 x 74 x 8 mm (6.18 x 2.91 x 0.31 in),,"32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM","microUSB 2.0, OTG","RMX1831, RMX1833",,Yes,"4.2, A2DP, LE",,,168 g (5.93 oz),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct","1080p@30fps, 720p@90fps","HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps",No,"Glass front (Gorilla Glass 3), plastic back, plastic frame",,Realme,,,Noise -92.8dB / Crosstalk -93.3dB,"Ambitious Black, Brave Blue, Fiery Gold",IPS LCD,AnTuTu: 144436 (v7)GeekBench: 6004 (v4.4)GFXBench: 7.1fps (ES 3.1 onscreen),HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (rear-mounted), accelerometer, proximity, compass"
"1, 3, 5, 8, 34, 38, 40, 41 - India",,"Android 8.1 (Oreo), upgradable to Android 10, Realme UI",Yes,Voice 69dB / Noise 74dB / Ring 81dB,Qualcomm SDM660 Snapdragon 660 (14 nm),,"Available. Released 2018, October",HDR,,"Contrast ratio: 1755:1 (nominal), 3.235 (sunlight)",,,,,,,,No,10W wired,"1, 3, 5, 7, 8, 20, 38, 40, 41 - Global",Photo/Video,,,About 150 EUR,,"16 MP, f/1.7, 1/2.8"", 1.12µm, PDAF2 MP, (depth)","16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm",GSM 850 / 900 / 1800 / 1900,"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",,"2018, September",GSM / HSPA / LTE,eMMC 5.1,,Adreno 512,,https://fdn2.gsmarena.com/vv/bigpic/oppo-realme-2-pro.jpg,"6.3 inches, 97.4 cm2(~84.0% screen-to-body ratio)",Realme 2 Pro,,,,,GPS,,"Li-Ion 3500 mAh, non-removable",,"LED flash, HDR, panorama",Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),,,Nano-SIM + Nano-SIM,,,Endurance rating 97h,microSDXC (dedicated slot),Corning Gorilla Glass 3,,156.7 x 74 x 8.5 mm (6.17 x 2.91 x 0.33 in),,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 8GB RAM","microUSB 2.0, OTG","RMX1801, RMX1807, RMX1803",,Yes,"5.0, A2DP, LE",,,174 g (6.14 oz),"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","4K@30fps, 1080p@30fps, 720p@240fps","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",No,"Glass front (Gorilla Glass 3), plastic back, plastic frame",,Realme,,,Noise -93.3dB / Crosstalk -92.7dB,"Black, Deep Blue, Light Blue",IPS LCD,AnTuTu: 132958 (v7)GeekBench: 5531 (v4.4)GFXBench: 7.2fps (ES 3.1 onscreen),HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass"
eMMC 5.1,,"Android 8.1 (Oreo), ColorOS 5.2",Yes,,Qualcomm SDM450 Snapdragon 450 (14 nm),,"Available. Released 2018, October",HDR,,,,,,,,,,FM radio,,"1, 3, 5, 8, 38, 40, 41",,,,About 100 EUR,,"13 MP, f/2.2, AF2 MP, f/2.4, (depth)","5 MP, f/2.2",GSM 850 / 900 / 1800 / 1900,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)",,"2018, September",GSM / HSPA / LTE,,,Adreno 506,,https://fdn2.gsmarena.com/vv/bigpic/oppo-realme-c1.jpg,"6.2 inches, 95.9 cm2(~81.2% screen-to-body ratio)",Realme C1,,,,,GPS,,"Li-Ion 4230 mAh, non-removable",,"LED flash, HDR, panorama",Octa-core 1.8 GHz Cortex-A53,,,Nano-SIM + Nano-SIM,,,,microSDXC (dedicated slot),Corning Gorilla Glass 3,,156.2 x 75.6 x 8.2 mm (6.15 x 2.98 x 0.32 in),,16GB 2GB RAM,"microUSB 2.0, OTG",A1603,,Yes,"4.2, A2DP, LE",,,168 g (5.93 oz),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",1080p@30fps,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",No,"Glass front (Gorilla Glass 3), plastic back, plastic frame",,Realme,,,,"Black, Blue",IPS LCD,,HSDPA 850 / 900 / 2100,,,"Accelerometer, proximity, compass"
eMMC 5.1,,"Android 8.1 (Oreo), upgradable to Android 9.0 (Pie), ColorOS 6",Yes,Voice 66dB / Noise 71dB / Ring 87dB,Qualcomm SDM450 Snapdragon 450 (14 nm),,"Available. Released 2018, September",HDR,,"Contrast ratio: 1437:1 (nominal), 3.006 (sunlight)",,,,,,,,FM radio,,"1, 3, 5, 8, 38, 40, 41",Photo/Video,,,About 120 EUR,,"13 MP, f/2.2, AF2 MP, f/2.4, (depth)","8 MP, f/2.2, 1/4.0"", 1.12µm",GSM 850 / 900 / 1800 / 1900,"720 x 1520 pixels, 19:9 ratio (~271 ppi density)",,"2018, August",GSM / HSPA / LTE,,,Adreno 506,,https://fdn2.gsmarena.com/vv/bigpic/oppo-realme-2-.jpg,"6.2 inches, 95.9 cm2(~81.2% screen-to-body ratio)",Realme 2,,,,,GPS,,"Li-Ion 4230 mAh, non-removable",,"LED flash, HDR, panorama",Octa-core 1.8 GHz Cortex-A53,,,Nano-SIM + Nano-SIM,,,Endurance rating 121h,microSDXC (dedicated slot),Corning Gorilla Glass 3,,156.2 x 75.6 x 8.2 mm (6.15 x 2.98 x 0.32 in),,"32GB 3GB RAM, 64GB 4GB RAM","microUSB 2.0, OTG","RMX1805, RMX1809",,Yes,"4.2, A2DP, LE",,,168 g (5.93 oz),"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",1080p@30fps,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",No,"Glass front (Gorilla Glass 3), plastic back, plastic frame",,Realme,,,Noise -93.4dB / Crosstalk -89.7dB,"Diamond Black, Diamond Red, Diamond Blue",IPS LCD,AnTuTu: 75434 (v7)GeekBench: 3881 (v4.4)GFXBench: 6.3fps (ES 3.1 onscreen),HSDPA 850 / 900 / 2100,1080p@30fps,,"Fingerprint (rear-mounted), accelerometer, proximity, compass"
