Features,CPU,,4G bands,Single_1,Stand-by,Alert types,OS,Loudspeaker,Bluetooth,Games,SAR EU,Stand-by_1,_2,Price,_3,3.5mm jack,Keyboard,SIM,Dual,Single,Weight,Chipset,Call records,Status,WLAN,Infrared port,Talk time_1,2G bands,Features_1,Browser,Resolution,Talk time,Card slot,Languages,Alarm,Speed,NFC,Build,Announced,Video_1,Technology,_1,SAR,Clock,Brand,Protection,GPU,Model Image,Size,Model Name,Music play,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Charging,Models,Video,Type_1,_4,Sensors,Java
,,Wallpapers,,,Up to 600 h,Vibration; Downloadable polyphonic ringtones,,No,No,1 embedded,,,Predictive text inputOrganizer,,,No,,Mini-SIM,,,96 g (3.39 oz),,"30 received, dialed and missed calls",Cancelled,No,,,GSM 900 / 1800,,No,128 x 160 pixels,Up to 6 h,No,,,,,,"2006, December",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-580.gif,,Philips 580,,SMS,Black,"CSTN, 65K colors",Yes,No,93.3 x 45.6 x 16.4 mm (3.67 x 1.80 x 0.65 in),1MB,No,No,No,FM radio,,,,,Removable Li-Ion 680 mAh battery,,,No
,,4-way navigation key,,,Up to 200 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,No,No,3 embedded,,,Predictive text inputMP3 playerOrganizerWorld clockLunar calendar,,,No,,Mini-SIM,,VGA,93 g (3.28 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 2.0/xHTML,128 x 160 pixels (~119 ppi density),Up to 3 h,microSD (dedicated slot),,,,,,"2006, September",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-s890.gif,"1.72 inches, 9.3 cm2(~23.2% screen-to-body ratio)",Philips S890,,"SMS, EMS, MMS","Black, Gray","TFT, 65K colors",Yes,Yes,87.7 x 45.7 x 24.5 mm (3.45 x 1.80 x 0.96 in),64MB,Proprietary,No,No,No,,,,Yes,Removable Li-Ion 650 mAh battery,,,No
,,4-way navigation key,,,Up to 250 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,No,No,3 embedded,,,Predictive text inputMP3 playerOrganizerWorld clockLunar calendar,,,No,,Mini-SIM,,VGA,83 g (2.93 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 2.0/xHTML,"128 x 128 pixels, 1:1 ratio (~121 ppi density)",Up to 5 h,No,,,,,,"2006, September",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-s660.gif,"1.5 inches, 7.3 cm2(~16.7% screen-to-body ratio)",Philips S660,,"SMS, EMS, MMS",Black,"CSTN, 65K colors",Yes,Yes,101 x 43 x 18 mm (3.98 x 1.69 x 0.71 in),128MB,Proprietary,No,No,No,,,,Yes,Removable Li-Ion 1000 mAh battery,,,No
,,2-way navigation keys,,,Up to 600 h,Vibration; Polyphonic(16) ringtones,,No,No,1 embedded,,,Predictive text inputOrganizer,,,No,,Mini-SIM,,,76 g (2.68 oz),,"20 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,No,"96 x 64 pixels,  5 lines, 3:2 ratio",Up to 7 h,No,,,,,,"2006, September",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-180.gif,,Philips 180,,SMS,Black,"STN, monochrome graphics",100 entries,No,105.2 x 44.7 x 16.4 mm (4.14 x 1.76 x 0.65 in),,No,No,No,No,,,,,Removable Li-Ion 750 mAh battery,,,No
,,External OLED display (80 x 48 pixels),,,Up to 720 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,No,No,Brick,,,TV Link (accessory),,Predictive text inputOrganizerStopwatchWorld clockVoice memo (up to 30 min),No,,Mini-SIM,,1.3 MP,102.5 g (3.60 oz),,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,128 x 160 pixels,Up to 8 h 30 min,No,,,,,,"2006, September",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-9@9s.gif,,Philips Xenium 9@9s,,"SMS, EMS, MMS, Email","Chrome Black, Silver Chrome","OLED, 256K colors","Yes, Photocall",Class 10,92.8 x 48 x 20.9 mm (3.65 x 1.89 x 0.82 in),18MB,Proprietary,No,No,No,,,,Yes,Removable Li-Ion 950 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,"Second external CSTN display, 65K colors, 96 x 64 pixels",,,Up to 340 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,No,No,Yes,,,No,,MP3/MP4 playerMP3 quick access hot keysBuilt-in dual speakersFlight modeOrganizerPC SyncPhoto editor,No,,Mini-SIM,,1.3 MP,94 g (3.32 oz),,"30 received, dialed and missed calls",Cancelled,No,,,GSM 900 / 1800 / 1900,,WAP 2.0,128 x 160 pixels,Up to 4.8 h,miniSD,,,,,,"2006, June",,GSM,8 MB user accessible,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-680.gif,,Philips 680,,"SMS, MMS","Black, Orange, Red","CSTN, 65K colors","Yes, Photocall",Class 10,"86.2 x 46.2 x 22 mm, 77 cc (3.39 x 1.82 x 0.87 in)",32MB,miniUSB,No,No,No,,,,Yes,Removable Li-Ion 720 mAh battery,,,Yes
,,Screensavers and wallpapers,,,Up to 300 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,Yes,Yes,,,MP3/MP4 playerOrganizerVoice memo,,,No,,Mini-SIM,,2 MP,94 g (3.32 oz),,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP,176 x 220 pixels (~128 ppi density),Up to 4 h,miniSD,,,,,,"2006, June",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-s900.gif,"2.2 inches, 15.2 cm2(~27.4% screen-to-body ratio)",Philips S900,,"SMS, EMS, MMS, Email",Silver,"TFT resistive touchscreen, 256K colors","1000 entries, Photocall",Class 10,109 x 51 x 13 mm (4.29 x 2.01 x 0.51 in),10MB,Proprietary,No,No,No,,,,Yes,Removable Li-Ion battery,,,No
,,"Second external CSTN display, 4096 colors (96 x 64 pixels)Screensavers and wallpapers",,,Up to 180 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,No,Yes,,,MP3 playerPredictive text inputOrganizer,,,No,,Mini-SIM,,VGA,80 g (2.82 oz),,"30 received, dialed and missed calls",Cancelled,No,,,GSM 900 / 1800,,WAP,"128 x 160 pixels,  7 lines (~121 ppi density)",Up to 3 h,No,,,,,,"2006, June",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-s880.gif,"1.7 inches, 27 x 33 mm, 9.1 cm2(~23.9% screen-to-body ratio)",Philips S880,,"SMS, EMS, MMS, Email","Silver Soul, Black Beat , Hot Pink","CSTN, 65K colors",Yes,Class 10,87.5 x 43.5 x 20.5 mm (3.44 x 1.71 x 0.81 in),128MB,1.1,No,No,No,,,,SQCIF,Removable Li-Ion 720 mAh battery,,,No
,,"Second external OLED, monochrome display (64 x 64 pixels)",,,Up to 300 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,No,Yes,2,0.33 W/kg (head),,Predictive text inputMP3 playerOrganizerFemale calendarWeight managementVoice memo,,,No,,Mini-SIM,,1.3 MP,82 g (2.89 oz),,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,176 x 220 pixels (~157 ppi density),Up to 4 h,microSD (dedicated slot),,,,,,"2007, March",,GSM,No,0.51 W/kg (head),,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-598.gif,"1.8 inches, 28 x 35 mm, 10.2 cm2(~28.5% screen-to-body ratio)",Philips 598,,"SMS, MMS, Email, Instant Messaging",Black Glamour,"TFT, 256K colors","1000 entries, Photocall",Class 10,83 x 43.1 x 20.2 mm (3.27 x 1.70 x 0.80 in),128MB,Proprietary,No,No,No,,,,QCIF,Removable Li-Ion 580 mAh battery,,,"Yes, MIDP 2.0"
,,No,,,Up to 300 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,No,No,2,,,,,,No,,Mini-SIM,,1.3 MP,78 g (2.75 oz),,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,128 x 160 pixels,Up to 5 h,No,,,,,,"2006, May",,GSM,Predictive text inputMP3 playerOrganizerFemale calendarWeight managementVoice memo,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-588.gif,,Philips 588,,"SMS, MMS, Instant Messaging","Elegant Purple, Reflective White, Mystery Black","TFT, 65K colors","500 entries, Photocall",Class 10,"80 x 42 x 18.6 mm, 60 cc (3.15 x 1.65 x 0.73 in)",128MB,Proprietary,No,No,No,,,,SQCIF,Removable Li-Ion 580 mAh battery,,,"Yes, MIDP 2.0"
,,Handwriting recognition,,,Up to 850 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,No,No,Yes,,,Predictive text inputMP3 playerOrganizerWorld clockLunar calendarVoice memo (up to 30 min),,,No,,Mini-SIM,,1.3 MP,85 g (3.00 oz),,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,128 x 160 pixels,Up to 2 h 30 min,miniSD,,,,,,"2006, April",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-9@9t.gif,,Philips Xenium 9@9t,,"SMS, MMS, Email","Silver touch, Classic black","CSTN resistive touchscreen, 65K colors","1000 entries, Photocall",Class 10,"108 x 46.5 x 17 mm, 82 cc (4.25 x 1.83 x 0.67 in)",20MB,Proprietary,No,No,No,,,,Yes,Removable Li-Ion 1100 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,No,,,Up to 850 h,Vibration; Downloadable polyphonic ringtones,,No,Yes,4 + downloadable,,,,,,No,,Mini-SIM,,1.3 MP,96 g (3.39 oz),,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,Yes,128 x 160 pixels,Up to 8 h,No,,,,,,"2006, March",,GSM,Predictive text inputOrganizerVoice appointment reminderWorld clockVoice memo (up to 30 min.),,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-289.gif,,Philips Xenium 9@9d,,"SMS, EMS, MMS","Dazzling Silver, Luminous Black","CSTN, 65K colors",1000 entries,Class 10,"108 x 45 x 18.5 mm, 80 cc (4.25 x 1.77 x 0.73 in)",18MB,1.1,No,No,No,,,,Yes,Removable Li-Ion 1100 mAh battery,,,"Yes, MIDP 2.0"
,,"4-way navigation keyScreensaver, wallpaper",,,Up to 1000 h,Vibration; Downloadable polyphonic ringtones,,No,No,3 + downloadable,,,No,,Predictive text inputOrganizerVoice memo,No,,Mini-SIM,,,86 g (3.03 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 1.2.1,"128 x 128 pixels, 1:1 ratio (~121 ppi density)",Up to 10 h,No,,,,,,"2006, March",,GSM,250 SMS storage capacity,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-189.gif,"1.5 inches, 27 x 27 mm, 7.3 cm2(~16.7% screen-to-body ratio)",Philips Xenium 9@9a,,"SMS, EMS, MMS","Silver, Black","OLED, 65K colors",1000 entries,Class 10,"99.7 x 43.5 x 19.2 mm, 77 cc (3.93 x 1.71 x 0.76 in)",2MB,No,No,No,No,,,,,Removable Li-Ion 1200 mAh battery,,,"Yes, MIDP 2.0"
,,"Second external CSTN display, 4096 colors (96 x 64 pixels)Screensavers and wallpapersDownloadable logos",,,Up to 180 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,No,Yes + Java downloadable,,,MP3 playerPredictive text inputOrganizer,,,No,,Mini-SIM,,VGA,80 g (2.82 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP,"128 x 160 pixels,  7 lines (~121 ppi density)",Up to 3 h,No,,,,,,"2006, January",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-s800.gif,"1.7 inches, 27 x 33 mm, 9.1 cm2(~24.3% screen-to-body ratio)",Philips S800,,"SMS, EMS, MMS, Email","Silver Soul, Black , Red Rythm","CSTN, 65K colors",Yes,Class 10,87 x 43 x 21 mm (3.43 x 1.69 x 0.83 in),128MB,1.1,No,No,No,,,,SQCIF,Removable Li-Ion 720 mAh battery,,,"Yes, MIDP 2.0"
,,No,,,Up to 330 h,Vibration; Polyphonic(16) ringtones,,No,No,3,,,,,,No,,Mini-SIM,,,80 g (2.82 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,No,"128 x 128 pixels, 1:1 ratio",Up to 2 h 30 min,No,,,,,,"2006, October",,GSM,Predictive text inputOrganizer,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-s220.gif,,Philips S220,,"SMS, EMS","Black, Silver","CSTN, 65K colors",Yes,No,"101 x 43.5 x 18.5 mm, 75 cc (3.98 x 1.71 x 0.73 in)",,No,No,No,FM radio,,,,,Removable Li-Ion 1000 mAh battery,,,No
,,No,,,Up to 330 h,Vibration; Polyphonic(16) ringtones,,No,No,3,,,,,,No,,Mini-SIM,,,85 g (3.00 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,No,"96 x 64 pixels,  5 lines, 3:2 ratio",Up to 3 h,No,,,,,,"2006, January",,GSM,Predictive text inputOrganizer,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-s200.gif,,Philips S200,,"SMS, EMS",Black,"STN, monochrome graphics",Yes,No,101 x 44 x 18.1 mm (3.98 x 1.73 x 0.71 in),,No,No,No,No,,,,,Removable Li-Ion 1000 mAh battery,,,No
,,No,,,Up to 300 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,Yes,1.2,,,,,,,No,,Mini-SIM,,1.3 MP,85 g (3.00 oz),,"30 dialed, received and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,176 x 220 pixels (~148 ppi density),Up to 4 h,"miniSD, up to 512MB",,,,,,"2005, Q4",,GSM,MP3/AAC playerPredictive text inputVoice memoOrganizer,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-768.gif,"1.9 inches, 30 x 37 mm, 11.4 cm2(~25.6% screen-to-body ratio)",Philips 768,,"SMS,EMS, MMS, Email, Instant Messaging",Silver Pebble,"TFT, 256K colors",Yes,Class 10,"101 x 44 x 18 mm, 70 cc (3.98 x 1.73 x 0.71 in)",10MB,1.1,No,No,No,,,,CIF,Removable Li-Ion 950 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,Screensavers and wallpapersDownloadable logos,,,Up to 270 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,No,1.2,Yes+ downloadable,,,No,,MP3 playerPredictive text inputOrganizerVoice memo/dial,No,,Mini-SIM,,2 MP,95 g (3.35 oz),,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,176 x 220 pixels,Up to 4 h,SD/MMC,,,,,,"2005, July",,GSM,10 MB user memory,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-960.gif,,Philips 960,,"SMS, EMS, MMS, Email, Instant Messaging","3 - Silver Sound, Titanium Tune, White Wide","TFT, 256K colors",Yes,Class 10,"95 x 47.5 x 23 mm, 90 cc (3.74 x 1.87 x 0.91 in)",32MB,Proprietary,No,No,No,,,,CIF,Removable Li-Ion 1000 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,Second external monochrome display (80 x 48 pixels)Downloadable logos,,,Up to 850 h,Vibration; Downloadable polyphonic ringtones,,Yes,No,Yes + Java downloadable,,,Predictive text inputVoice memo (up to 30 min.)OrganizerWorld clockVoice reminder,,,No,,Mini-SIM,,1.3 MP,105 g (3.70 oz),,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 1.2.1,"128 x 160 pixels,  7 lines",Up to 8 h 30 min,No,,,,,,"2005, September",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-9@9e.gif,,Philips Xenium 9@9e,,"SMS, EMS, MMS, Email","Executive black, Elegant silver","UFB, 65K colors","1000 x 5 fields, Photo call",Class 10,"89.9 x 47 x 25.5 mm, 95 cc (3.54 x 1.85 x 1.00 in)",20MB,,No,No,No,,,,No,Removable Li-Ion 1100 mAh battery,,,"Yes, MIDP 2.0"
,,Dust resistant keypad,,,Up to 400 h,Vibration; Downloadable polyphonic ringtones,,No,No,2,,,0.3 MB user memory,,No,No,,Mini-SIM,,,84 g (2.96 oz),,"20 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 1.2.1,"101 x 80 pixels, 5 lines",Up to 6 h,No,,,,,,"2005, September",,GSM,Screensavers and wallpapers,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-160.gif,,Philips 160,,"SMS, EMS","2 - Smooth Blue, Soft Grey","STN, monochrome graphics",Yes,,"103 x 47.5 x 18.7 mm, 89 cc (4.06 x 1.87 x 0.74 in)",4MB,,No,No,No,,,,,Removable Li-Ion 720 mAh battery,CalculatorPredictive text input,,No
LED flash,,Swivel and rotate 90 degHandwriting recognitionScreensavers and wallpapersDownloadable logos,,,Up to 240 h,"Vibration; Downloadable polyphonic, MP3 ringtones",Linux,Yes,No,,,,MP3/AAC+/MP4 playerPredictive text inputOrganizerLunar calendarVoice memo,,,No,,Mini-SIM,,1.3 MP,128 g (4.52 oz),,,Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"240 x 320 pixels, 4:3 ratio",Up to 4 h,SD,,,,,,"2005, July",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-968.gif,,Philips 968,,,"Titanium Tempo, Black Bass","TFT resistive touchscreen, 256K colors",,Class 10,"95 x 48.7 x 25 mm, 115 cc (3.74 x 1.92 x 0.98 in)",40MB,Proprietary,No,No,No,,,,Yes,Removable Li-Ion 1450 mAh battery,,,
LED flash,,Screensavers and wallpapers5-way joystickDownloadable pictures,,,Up to 400 h,"Vibration; Downloadable polyphonic ringtones, composer",,No,No,"Yes, Java and In-Fusio",,,Predictive text inputOrganizerTV-outVoice memoVoice command,,,No,,Mini-SIM,,VGA,83 g (2.93 oz),,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800,,WAP 1.2.1,128 x 160 pixels,Up to  6 h,No,,,,,,"2005, Q2",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-362.gif,,Philips 362,,"SMS, MMS, Email",,"CSTN, 65K colors","Yes, Photo call",Class 10,"100 x 45 x 18 mm, 75 cc (3.94 x 1.77 x 0.71 in)",4MB,,No,No,No,,,,No,Removable Li-Ion 750 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,"Second external CSTN,65K colors display (96 x 64 pixels)Screensavers and wallpapersDownloadable logos",,,Up to 150 h,"Vibration; Downloadable polyphonic, MP3 ringtones",,No,No,Yes + downloadable,,,MP3 playerPredictive text inputOrganizer,,,No,,Mini-SIM,,2 MP,110 g (3.88 oz),,"30 received, dialed and missed calls",Cancelled,No,Yes,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"128 x 160 pixels, 8 lines",Up to 5 h,miniSD,,,,,,"2005, Q2",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-868.gif,,Philips 868,,"SMS, EMS, MMS, EMail",,"TFT resistive touchscreen, 256K colors",Yes,Class 10,92 x 45 x 26 mm (3.62 x 1.77 x 1.02 in),8MB,Proprietary,No,No,No,,,,Yes,Removable Li-Ion 750 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,"Swivel and rotate 180 degSecond external CSTN display, 65K colors (96 x 64 pixels)Screensavers and wallpapersDownloadable logos",,,Up to 150 h,Vibration; Downloadable polyphonic ringtones,,Yes,No,Yes + downloadable,,,Predictive text inputOrganizerLunar Calendar,,,No,,Mini-SIM,,1.3 MP,102 g (3.60 oz),,"30 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 1.2.1,"128 x 160 pixels, 8 lines",Up to 2 h 30 min,No,,,,,,"2005, Q2",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-766.gif,,Philips 766,,"SMS, EMS, MMS, EMail","Brushed Titanium, Reflection White","TFT resistive touchscreen, 256K colors",Yes,Class 10,"88 x 43 x 22 mm, 82 cc (3.46 x 1.69 x 0.87 in)",10MB,miniUSB,No,No,No,,,,Yes,Removable Li-Ion 770 mAh battery,,,"Yes, MIDP 2.0"
LED flash,,Swivel and rotate 180 degScreensavers and wallpapersDownloadable logos,,,Up to 560 h,Vibration; Downloadable polyphonic ringtones,,Yes,No,4 + downloadable,,,TV-outPredictive text inputOrganizerStopwatchPhoto editorVoice memo/dial,,,No,,Mini-SIM,,1.3 MP,104 g (3.67 oz),,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800,,WAP 1.2.1,"128 x 160 pixels, 8 lines",Up to 4 h 40 min,No,,,,,,"2005, Q1",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-760.gif,,Philips 760,,"SMS, EMS, MMS, EMail","2 - Swing Blue, Twist Grey","TFT, 65K colors","500 x 9 files, Photo call",Class 10,"91 x 44 x 25 mm, 92 cc (3.58 x 1.73 x 0.98 in)",18MB,Proprietary,No,No,No,,,,No,Removable Li-Ion 720 mAh battery,,,"Yes, MIDP 2.0"
,,3.2 MB free shared memory,,,Up to 300 h,"Vibration; Downloadable polyphonic ringtones, composer",,No,No,,,,Predictive text inputVoice memoOrganizer,,,No,,Mini-SIM,,VGA,87 g (3.07 oz),,"30 dialed, received and missed calls",Discontinued,No,,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"128 x 160 pixels, 5 lines",Up to 4 h,No,,,,,,"2004, Q4",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph568.gif,,Philips 568,,"SMS, EMS, MMS, EMail",Deep Black and Arrow Silver,"STN, 65K colors","500 x 5 fields, Photo call",Yes,98 x 44 x 18 mm (3.86 x 1.73 x 0.71 in),8MB,,No,No,No,,,,Yes,Removable Li-Ion 720 mAh battery,,,"Yes, MIDP 2.0"
,,Second external monochrome display (80 x 48 pixels)Screensavers and wallpapersDownloadable logos,,,Up to 400 h,"Vibration; Downloadable polyphonic ringtones, composer",,Yes,No,Yes + Java downloadable,,,Predictive text inputOrganizerPhoto editorOptional TV-out,,,No,,Mini-SIM,,VGA,85 g (3.00 oz),,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 1.2.1,"128 x 160 pixels,  7 lines",Up to 4 h,No,,,,,,"2004, Q3",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-655.gif,,Philips 655,,"SMS, EMS, MMS, Email","3 - Silver Ball, Black Sphere, Red Ballon","TFT, 65K colors","500 x 10 fields, Photo call",Class 10,"85 x 45 x 24 mm, 75 cc (3.35 x 1.77 x 0.94 in)",6MB,,No,No,No,,,,No,Removable Li-Ion 600 mAh battery,,,"Yes, MIDP 2.0"
,,Second external monochrome display (80 x 48 pixels)Screensavers and wallpapersDownloadable logos,,,Up to 720 h,Vibration; Downloadable polyphonic ringtones,,Yes,No,Yes + Java downloadable,,,Predictive text inputVoice memo (up to 30 min.)OrganizerWorld clock,,,No,,Mini-SIM,,1.3 MP,104 g (3.67 oz),,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 2.0/xHTML,"128 x 160 pixels,  7 lines",Up to 8 h 30 min,No,,,,,,"2005, Q1",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-9@9i.gif,,Philips Xenium 9@9i,,"SMS, MMS, Email","Executive Silver, Superior Titanium, Royal Blue","UFB, 65K colors","1000 x 5 fields, Photo call",Class 10,"89.7 x 46.5 x 25.3 mm, 95 cc (3.53 x 1.83 x 1.00 in)",20MB,,No,No,No,,,,No,Removable Li-Ion 1100 mAh battery,,,"Yes, MIDP 2.0"
,,Screensavers and wallpapers,,,Up to 720 h,Vibration; Downloadable polyphonic ringtones,,No,No,3,,,No,,Predictive text inputCalculatorEuro ConverterLunar calendar,No,,Mini-SIM,,,94 g (3.32 oz),,"20 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 1.2.1,"101 x 80 pixels, 5 lines",Up to 7 h,No,,,,,,"2005, Q1",,GSM,4 MB user memory,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-9@98.gif,,Philips Xenium 9@98,,"SMS, EMS","Superior Silver, Power Silver","CSTN, 4096 colors",1000 entries,,"107 x 45 x 19.2 mm, 92 cc (4.21 x 1.77 x 0.76 in)",8MB,,No,No,No,,,,,Removable Li-Ion 1050 mAh battery,,,No
,,Screensavers and wallpapers,,,Up to 300 h,Vibration; Downloadable polyphonic ringtones,,No,No,"3 - Brick, Snake, Master Mind",,,No,,Predictive text inputCalculatorEuro Converter,No,,Mini-SIM,,,82 g (2.89 oz),,"20 received, dialed and missed calls",Discontinued,No,,,GSM 900 / 1800,,WAP 1.2.1,"101 x 80 pixels, 5 lines",Up to 4 h,No,,,,,,"2005, Q1",,GSM,0.3 MB user memory,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/philips-162.gif,,Philips 162,,"SMS, EMS","4 - Silver Crystal, Red Ruby, Silver Quartz and Black Onyx","CSTN, 4096 colors","100 entries, Fotocall",,"98 x 45 x 18.5 mm, 73 cc (3.86 x 1.77 x 0.73 in)",4MB,,No,No,No,,,,,Removable Li-Ion 720 mAh battery,,,No
,,Second external monochrome display (80 x 48 pixels)Screensavers and wallpapersDownloadable logos,,,Up to 720 h,Vibration; Downloadable polyphonic ringtones,,Yes,No,Yes + Java downloadable,,,Predictive text inputOrganizerVoice memo/dialWorld clockOptional digital VGA camera and TV-out,,,No,,Mini-SIM,,,93 g (3.28 oz),,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 1.2.1,"128 x 160 pixels,  7 lines",Up to 8 h 3 min,No,,,,,,"2004, Q2",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/phxe650.gif,,Philips 650,,"SMS, EMS, MMS, Email","3 - Executive Grey, Discerning Blue, White Bond","STN, 65K colors","1000 x 5 fields, Photo call",Class 10,88 x 46 x 24.5 mm (3.46 x 1.81 x 0.96 in),7MB,,No,No,No,,,,,Removable Li-Ion 1100 mAh battery,,,"Yes, MIDP 2.0"
,,"180 deg opening positionSecond external CSTN display, 4096 colors (96 x 64 pixels)Screensavers and wallpapersDownloadable logos",,,Up to 400 h,Vibration; Downloadable polyphonic ringtones,,Yes,No,4 + Java downloadable,,,Predictive text inputOrganizerVoice dial/commandOptional TV-out,,,No,,Mini-SIM,,VGA,94 g (3.32 oz),,"30 received, dialed and missed calls",Discontinued,No,Yes,,GSM 900 / 1800 / 1900,,WAP 1.2.1,"128 x 160 pixels,  7 lines",Up to 4 h,No,,,,,,"2004, Q3",,GSM,No,,,Philips,,,https://fdn2.gsmarena.com/vv/bigpic/ph859.gif,,Philips 859,,"SMS, EMS, MMS, Email",,"TFT, 65K colors","500 x 5 fields, Photo call",Class 10,"88 x 46 x 23 mm, 77 cc (3.46 x 1.81 x 0.91 in)",7MB,,No,No,No,,,,No,Removable Li-Ion 600 mAh battery,,,"Yes, MIDP 2.0"
